Date,sero,daily_death,sero_lower,sero_upper
2020/4/10,,97,,
2020/4/11,,126,,
2020/4/12,,143,,
2020/4/13,,109,,
2020/4/14,,97,,
2020/4/15,,114,,
2020/4/16,,118,,
2020/4/17,,133,,
2020/4/18,,102,,
2020/4/19,,96,,
2020/4/20,,102,,
2020/4/21,,95,,
2020/4/22,,104,,
2020/4/23,,78,,
2020/4/24,,101,,
2020/4/25,,83,,
2020/4/26,,83,,
2020/4/27,,75,,
2020/4/28,,87,,
2020/4/29,,61,,
2020/4/30,,80,,
2020/5/1,,81,,
2020/5/2,,47,,
2020/5/3,,69,,
2020/5/4,,49,,
2020/5/5,,55,,
2020/5/6,,57,,
2020/5/7,,57,,
2020/5/8,,43,,
2020/5/9,,52,,
2020/5/10,0.088,44,0.067,0.112
2020/5/11,,32,,
2020/5/12,,45,,
2020/5/13,,44,,
2020/5/14,,47,,
2020/5/15,,37,,
2020/5/16,,37,,
2020/5/17,,41,,
2020/5/18,,41,,
2020/5/19,,29,,
2020/5/20,,51,,
2020/5/21,,29,,
2020/5/22,,27,,
2020/5/23,,27,,
2020/5/24,,30,,
2020/5/25,,37,,
2020/5/26,,26,,
2020/5/27,,24,,
2020/5/28,,33,,
2020/5/29,,29,,
2020/5/30,,17,,
2020/5/31,0.052,19,0.036,0.07
2020/6/1,,17,,
2020/6/2,,25,,
2020/6/3,,19,,
2020/6/4,,18,,
2020/6/5,,23,,
2020/6/6,,9,,
2020/6/7,,13,,
2020/6/8,,12,,
2020/6/9,,13,,
2020/6/10,,19,,
2020/6/11,,4,,
2020/6/12,,12,,
2020/6/13,,6,,
2020/6/14,,13,,
2020/6/15,,9,,
2020/6/16,,7,,
2020/6/17,,12,,
2020/6/18,,6,,
2020/6/19,,12,,
2020/6/20,,8,,
2020/6/21,,7,,
2020/6/22,,8,,
2020/6/23,,12,,
2020/6/24,,8,,
2020/6/25,,11,,
2020/6/26,,6,,
2020/6/27,,11,,
2020/6/28,0.05,12,0.033,0.069
2020/6/29,,12,,
2020/6/30,,8,,
2020/7/1,,5,,
2020/7/2,,7,,
2020/7/3,,3,,
2020/7/4,,9,,
2020/7/5,0.05,4,0.033,0.069
2020/7/6,,4,,
2020/7/7,,6,,
2020/7/8,,5,,
2020/7/9,,14,,
2020/7/10,,6,,
2020/7/11,,4,,
2020/7/12,,4,,
2020/7/13,,10,,
2020/7/14,,4,,
2020/7/15,,4,,
2020/7/16,,1,,
2020/7/17,,2,,
2020/7/18,,2,,
2020/7/19,,2,,
2020/7/20,,3,,
2020/7/21,,0,,
2020/7/22,,1,,
2020/7/23,,2,,
2020/7/24,,1,,
2020/7/25,,1,,
2020/7/26,0.066,2,0.048,0.086
2020/7/27,,2,,
2020/7/28,,3,,
2020/7/29,,3,,
2020/7/30,,2,,
2020/7/31,,2,,
2020/8/1,,0,,
2020/8/2,0.066,0,0.048,0.086
2020/8/3,,0,,
2020/8/4,,4,,
2020/8/5,,1,,
2020/8/6,,2,,
2020/8/7,,1,,
2020/8/8,,2,,
2020/8/9,,2,,
2020/8/10,,2,,
2020/8/11,,2,,
2020/8/12,,3,,
2020/8/13,,1,,
2020/8/14,,1,,
2020/8/15,,4,,
2020/8/16,,0,,
2020/8/17,,0,,
2020/8/18,,2,,
2020/8/19,,2,,
2020/8/20,,2,,
2020/8/21,,0,,
2020/8/22,,2,,
2020/8/23,0.044,1,0.028,0.063
2020/8/24,,0,,
2020/8/25,,1,,
2020/8/26,,3,,
2020/8/27,,1,,
2020/8/28,,0,,
2020/8/29,,0,,
2020/8/30,0.044,1,0.028,0.063
2020/8/31,,0,,
2020/9/1,,0,,
2020/9/2,,1,,
2020/9/3,,1,,
2020/9/4,,1,,
2020/9/5,,0,,
2020/9/6,,1,,
2020/9/7,,1,,
2020/9/8,,2,,
2020/9/9,,0,,
2020/9/10,,1,,
2020/9/11,,2,,
2020/9/12,,1,,
2020/9/13,,1,,
2020/9/14,,2,,
