Date,sero,daily_death_NorthEast,sero_lower,sero_upper
17/09/2020,,5,,
18/09/2020,,3,,
19/09/2020,,1,,
20/09/2020,,3,,
21/09/2020,,3,,
22/09/2020,,1,,
23/09/2020,,4,,
24/09/2020,,1,,
25/09/2020,,5,,
26/09/2020,,5,,
27/09/2020,,13,,
28/09/2020,,6,,
29/09/2020,,5,,
30/09/2020,,3,,
01/10/2020,,5,,
02/10/2020,,18,,
03/10/2020,,7,,
04/10/2020,,11,,
05/10/2020,,6,,
06/10/2020,,10,,
07/10/2020,,10,,
08/10/2020,,14,,
09/10/2020,,10,,
10/10/2020,,15,,
11/10/2020,,16,,
12/10/2020,,12,,
13/10/2020,,12,,
14/10/2020,,16,,
15/10/2020,,16,,
16/10/2020,,15,,
17/10/2020,,15,,
18/10/2020,,14,,
19/10/2020,,20,,
20/10/2020,,19,,
21/10/2020,,19,,
22/10/2020,,21,,
23/10/2020,,15,,
24/10/2020,,13,,
25/10/2020,,17,,
26/10/2020,,22,,
27/10/2020,,19,,
28/10/2020,,25,,
29/10/2020,,18,,
30/10/2020,,25,,
31/10/2020,,19,,
01/11/2020,,26,,
02/11/2020,,16,,
03/11/2020,,18,,
04/11/2020,,23,,
05/11/2020,,22,,
06/11/2020,,27,,
07/11/2020,,31,,
