Date,daily_death_EastMidlands,sero,sero_lower,sero_upper
15/04/2020,81,,,
16/04/2020,64,,,
17/04/2020,87,,,
18/04/2020,73,,,
19/04/2020,80,,,
20/04/2020,81,,,
21/04/2020,59,,,
22/04/2020,59,,,
23/04/2020,72,,,
24/04/2020,63,,,
25/04/2020,57,,,
26/04/2020,63,0.064,0.055,0.092
27/04/2020,64,,,
28/04/2020,65,,,
29/04/2020,64,,,
30/04/2020,50,,,
01/05/2020,59,,,
02/05/2020,46,,,
03/05/2020,50,,,
04/05/2020,56,,,
05/05/2020,48,,,
06/05/2020,50,,,
07/05/2020,43,,,
08/05/2020,45,,,
09/05/2020,44,,,
10/05/2020,32,,,
11/05/2020,36,,,
12/05/2020,45,,,
13/05/2020,22,,,
14/05/2020,39,,,
15/05/2020,27,,,
16/05/2020,29,,,
17/05/2020,22,0.06,0.041,0.081
18/05/2020,42,,,
19/05/2020,34,,,
20/05/2020,28,,,
21/05/2020,32,,,
22/05/2020,28,,,
23/05/2020,34,,,
24/05/2020,19,,,
25/05/2020,24,,,
26/05/2020,26,,,
27/05/2020,23,,,
28/05/2020,26,,,
29/05/2020,17,,,
30/05/2020,25,,,
31/05/2020,22,,,
01/06/2020,21,,,
02/06/2020,14,,,
03/06/2020,23,,,
04/06/2020,19,,,
05/06/2020,11,,,
06/06/2020,23,,,
07/06/2020,13,,,
08/06/2020,21,,,
09/06/2020,17,,,
10/06/2020,14,,,
11/06/2020,22,,,
12/06/2020,21,,,
13/06/2020,8,,,
14/06/2020,13,0.074,0.056,0.095
15/06/2020,16,,,
16/06/2020,13,,,
17/06/2020,10,,,
18/06/2020,14,,,
19/06/2020,10,,,
20/06/2020,13,,,
21/06/2020,12,0.074,0.056,0.095
22/06/2020,9,,,
23/06/2020,9,,,
24/06/2020,11,,,
25/06/2020,15,,,
26/06/2020,9,,,
27/06/2020,8,,,
28/06/2020,4,,,
29/06/2020,9,,,
30/06/2020,5,,,
01/07/2020,5,,,
02/07/2020,7,,,
03/07/2020,5,,,
04/07/2020,3,,,
05/07/2020,7,,,
06/07/2020,3,,,
07/07/2020,5,,,
08/07/2020,5,,,
09/07/2020,5,,,
10/07/2020,4,,,
11/07/2020,2,,,
12/07/2020,5,,,
13/07/2020,5,,,
14/07/2020,3,,,
15/07/2020,6,,,
16/07/2020,5,,,
17/07/2020,6,,,
18/07/2020,2,,,
19/07/2020,4,,,
20/07/2020,4,,,
21/07/2020,7,,,
22/07/2020,2,,,
23/07/2020,4,,,
24/07/2020,4,,,
25/07/2020,2,,,
26/07/2020,5,,,
27/07/2020,2,,,
28/07/2020,1,,,
29/07/2020,3,,,
30/07/2020,2,,,
31/07/2020,1,,,
01/08/2020,2,,,
02/08/2020,2,,,
03/08/2020,0,,,
04/08/2020,2,,,
05/08/2020,2,,,
06/08/2020,0,,,
07/08/2020,3,,,
08/08/2020,3,,,
09/08/2020,1,,,
10/08/2020,1,,,
11/08/2020,0,,,
12/08/2020,2,,,
13/08/2020,2,,,
14/08/2020,2,,,
15/08/2020,0,,,
16/08/2020,2,,,
17/08/2020,4,,,
18/08/2020,0,,,
19/08/2020,1,,,
20/08/2020,2,,,
21/08/2020,1,,,
22/08/2020,1,,,
23/08/2020,0,,,
24/08/2020,0,,,
25/08/2020,4,,,
26/08/2020,0,,,
27/08/2020,1,,,
28/08/2020,0,,,
29/08/2020,1,,,
30/08/2020,3,,,
31/08/2020,4,,,
01/09/2020,2,,,
02/09/2020,2,,,
03/09/2020,0,,,
04/09/2020,5,,,
05/09/2020,0,,,
06/09/2020,1,,,
07/09/2020,2,,,
08/09/2020,0,,,
09/09/2020,1,,,
10/09/2020,1,,,
11/09/2020,2,,,
12/09/2020,5,,,
13/09/2020,2,,,
14/09/2020,1,,,
15/09/2020,1,,,
16/09/2020,2,,,
17/09/2020,0,,,
18/09/2020,1,,,
19/09/2020,3,,,
20/09/2020,1,,,
21/09/2020,5,,,
22/09/2020,2,,,
23/09/2020,2,,,
24/09/2020,2,,,
25/09/2020,3,,,
26/09/2020,1,,,
27/09/2020,2,,,
28/09/2020,1,,,
29/09/2020,3,,,
30/09/2020,1,,,
01/10/2020,2,,,
02/10/2020,1,,,
03/10/2020,7,,,
04/10/2020,3,,,
05/10/2020,2,,,
06/10/2020,3,,,
07/10/2020,4,,,
08/10/2020,2,,,
09/10/2020,6,,,
10/10/2020,4,,,
11/10/2020,8,,,
12/10/2020,6,,,
13/10/2020,11,,,
14/10/2020,7,,,
15/10/2020,14,,,
16/10/2020,10,,,
17/10/2020,16,,,
18/10/2020,7,,,
19/10/2020,10,,,
20/10/2020,17,,,
21/10/2020,10,,,
22/10/2020,28,,,
23/10/2020,20,,,
24/10/2020,21,,,
25/10/2020,22,,,
26/10/2020,21,,,
27/10/2020,25,,,
28/10/2020,29,,,
29/10/2020,23,,,
30/10/2020,31,,,
31/10/2020,28,,,
01/11/2020,36,,,
02/11/2020,36,,,
03/11/2020,28,,,
04/11/2020,40,,,
05/11/2020,28,,,
06/11/2020,30,,,
07/11/2020,31,,,
